state,district,net_gw_availability_ham,net_gw_irrigation_ham,stage_pct,category
Haryana,Fatehabad,52992.0,90660.0,174.0,Over-Exploited
Haryana,Bhiwani,61857.0,70596.0,115.0,Over-Exploited
Haryana,Hissar,62320.0,57841.0,94.0,Critical
Haryana,Gurgaon,24048.0,36266.0,226.0,Over-Exploited
Haryana,Mewat,22364.0,17586.0,84.0,Semi-Critical
Haryana,Faridabad,19564.0,12691.0,76.0,Semi-Critical
Haryana,Palwal,42907.0,40597.0,97.0,Critical
Haryana,Jhajjar,41238.0,40768.0,100.0,Critical
Haryana,Jind,84792.0,91079.0,112.0,Over-Exploited
Haryana,Kaithal,53509.0,108316.0,214.0,Over-Exploited
Haryana,Karnal,82231.0,120647.0,148.0,Over-Exploited
Haryana,Kurukshetra,35333.0,71099.0,220.0,Over-Exploited
Haryana,Mahendragarh,22480.0,22506.0,102.0,Over-Exploited
Haryana,Panipat,31087.0,50148.0,163.0,Over-Exploited
Haryana,Rewari,28392.0,31999.0,113.0,Over-Exploited
Haryana,Rohtak,43771.0,30488.0,70.0,Semi-Critical
Haryana,Sirsa,77352.0,135443.0,176.0,Over-Exploited
Haryana,Sonepat,76998.0,102617.0,139.0,Over-Exploited
Haryana,Yamunanagar,48441.0,56434.0,138.0,Over-Exploited
Himachal Pradesh,Indaura Valley,10038.64,3771.37,52.0,Safe
Himachal Pradesh,Nurpur Valley,7035.39,1510.2,43.0,Safe
Himachal Pradesh,Balh Valley,2825.59,253.73,32.0,Safe
Himachal Pradesh,Paonta Valley,7702.97,1316.02,28.0,Safe
Himachal Pradesh,Kala Amb Valley,96.58,50.81,565.0,Over-Exploited
Himachal Pradesh,Nalagarh Valley,7941.86,2218.92,55.0,Safe
Himachal Pradesh,Una Valley,16903.11,15480.4,124.0,Over-Exploited
Himachal Pradesh,Hum Valley,563.45,454.14,100.0,Critical
Jammu & Kashmir,Jammu,117092.0,12993.0,18.0,Safe
Jammu & Kashmir,Kathua,48304.0,5469.0,18.0,Safe
Jammu & Kashmir,Srinagar,14951.0,500.0,66.0,Safe
Jammu & Kashmir,Anantnag,45908.0,69.0,11.0,Safe
Jammu & Kashmir,Baramulla,46593.0,401.0,10.0,Safe
Jammu & Kashmir,Badgam,26669.0,62.0,27.0,Safe
Jammu & Kashmir,Pulwama,27803.0,90.0,29.0,Safe
Jammu & Kashmir,Kupwara,18950.0,24.0,26.0,Safe
Jammu & Kashmir,Udhampur,5835.0,15.0,48.0,Safe
Jammu & Kashmir,Rajouri,10620.0,231.0,31.0,Safe
Jammu & Kashmir,Poonch,9391.0,5.0,40.0,Safe
Jammu & Kashmir,Doda,5374.0,6.0,20.0,Safe
Jammu & Kashmir,Kargil,1425.0,0.0,9.0,Safe
