state,district,monsoon_recharge_rainfall,monsoon_recharge_other,nonmonsoon_recharge_rainfall,nonmonsoon_recharge_other,total_recharge_ham,natural_discharge_ham,net_gw_availability_ham,gw_draft_irrigation_ham,gw_draft_domestic_ind_ham,gw_draft_total_ham,projected_demand_2025_ham,net_gw_future_irrigation_ham,stage_pct,category
Rajasthan,Ganganagar,2711.0,14301.0,669.0,23118.0,40798.0,4080.0,36719.0,15617.0,545.0,16163.0,1033.0,20068.0,44.0,Safe
Rajasthan,Hanumangarh,2954.0,6950.0,316.0,12429.0,22649.0,2265.0,20384.0,15716.0,705.0,16421.0,1107.0,3561.0,81.0,Semi-Critical
Rajasthan,Jaipur,58832.0,2331.0,3333.0,6742.0,71238.0,6685.0,64552.0,108111.0,25686.0,133797.0,25733.0,979.0,207.0,Over-Exploited
Rajasthan,Jaisalmer,6721.0,16.0,0.0,55.0,6792.0,633.0,6159.0,9356.0,2893.0,12249.0,2961.0,1874.0,199.0,Over-Exploited
Rajasthan,Jalore,40787.0,1114.0,0.0,4383.0,46285.0,4086.0,42200.0,77952.0,4090.0,82042.0,4191.0,969.0,194.0,Over-Exploited
Rajasthan,Jhalawar,36546.0,1968.0,0.0,5657.0,44171.0,2948.0,41223.0,47601.0,1583.0,49183.0,1940.0,479.0,119.0,Over-Exploited
Rajasthan,Jhunjhunu,21173.0,213.0,3498.0,1466.0,26350.0,2350.0,24000.0,45604.0,8571.0,54175.0,8604.0,330.0,226.0,Over-Exploited
Rajasthan,Jodhpur,38126.0,656.0,2139.0,2031.0,42952.0,4239.0,38713.0,73164.0,10415.0,83579.0,11303.0,4761.0,216.0,Over-Exploited
Rajasthan,Karauli,31897.0,1162.0,0.0,4254.0,37313.0,3617.0,33697.0,41177.0,5064.0,46241.0,4984.0,1239.0,137.0,Over-Exploited
Rajasthan,Kota,31458.0,3089.0,0.0,22142.0,56689.0,5359.0,51330.0,42097.0,4891.0,46988.0,6251.0,7776.0,92.0,Critical
Rajasthan,Nagaur,51178.0,517.0,4161.0,2219.0,58075.0,5649.0,52426.0,81186.0,17893.0,99079.0,18953.0,4120.0,189.0,Over-Exploited
Rajasthan,Pali,27262.0,848.0,0.0,4749.0,32859.0,3229.0,29630.0,31436.0,2747.0,34184.0,3048.0,959.0,115.0,Over-Exploited
Rajasthan,Pratapgarh,11064.0,926.0,0.0,3532.0,15521.0,1436.0,14086.0,16884.0,597.0,17481.0,982.0,399.0,124.0,Over-Exploited
Rajasthan,Rajsamand,8495.0,786.0,0.0,2592.0,11873.0,1187.0,10686.0,10270.0,1525.0,11795.0,1525.0,63.0,110.0,Over-Exploited
Rajasthan,Sawai Madhopur,33916.0,1499.0,0.0,4222.0,39636.0,3594.0,36042.0,37408.0,7947.0,45355.0,8375.0,209.0,126.0,Over-Exploited
Rajasthan,Sikar,26968.0,294.0,4006.0,880.0,32148.0,3037.0,29111.0,37052.0,5842.0,42894.0,6238.0,972.0,147.0,Over-Exploited
Rajasthan,Sirohi,26211.0,878.0,0.0,3249.0,30338.0,2854.0,27485.0,29952.0,1108.0,31061.0,1484.0,1126.0,113.0,Over-Exploited
Rajasthan,Tonk,36225.0,2834.0,0.0,9294.0,48353.0,4459.0,43894.0,35745.0,7635.0,43380.0,9104.0,1841.0,99.0,Critical
Rajasthan,Udaipur,21242.0,1433.0,0.0,6010.0,28685.0,3394.0,25291.0,22931.0,3195.0,26125.0,3946.0,450.0,103.0,Over-Exploited
Sikkim,North,,,,,,,236.0,27.0,62.0,89.0,67.0,142.0,38.0,Safe
Sikkim,South,,,,,,,1336.0,89.0,210.0,299.0,247.0,1001.0,22.0,Safe
